"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"United Kingdom",2020-08-09,0,0,0,0,0,0,0
"United Kingdom",2020-08-10,0,0,1,1,0,0,0
"United Kingdom",2020-08-11,1,0,2,3,0.333333333333333,1.08,0.08
"United Kingdom",2020-08-12,0,0,0,0,0,0,0
"United Kingdom",2020-08-13,0,0,0,0,0,0,0
"United Kingdom",2020-08-14,0,0,0,0,0,0,0
"United Kingdom",2020-08-15,0,0,0,0,0,0,0
"United Kingdom",2020-08-16,0,1,0,1,0,0,0
"United Kingdom",2020-08-17,0,0,0,0,0,0,0
"United Kingdom",2020-08-18,0,1,0,1,0,0,0
"United Kingdom",2020-08-19,1,0,0,1,1,1,0
"United Kingdom",2020-08-20,0,0,0,0,0,0,0
"United Kingdom",2020-08-21,0,0,3,3,0,0,0
"United Kingdom",2020-08-22,0,0,0,0,0,0,0
"United Kingdom",2020-08-23,0,0,0,0,0,0,0
"United Kingdom",2020-08-24,0,0,0,0,0,0,0
"United Kingdom",2020-08-25,0,0,0,0,0,0,0
"United Kingdom",2020-08-26,1,0,0,1,1,1,0
"United Kingdom",2020-08-27,0,0,1,1,0,0,0
"United Kingdom",2020-08-28,0,0,2,2,0,0,0
"United Kingdom",2020-08-29,0,0,0,0,0,0,0
"United Kingdom",2020-08-30,0,0,0,0,0,0,0
"United Kingdom",2020-08-31,0,0,0,0,0,0,0
"United Kingdom",2020-09-01,0,1,0,1,0,0,0
"United Kingdom",2020-09-02,0,0,1,1,0,0,0
"United Kingdom",2020-09-03,1,0,0,1,1,1,0
"United Kingdom",2020-09-04,0,1,1,2,0,0,0
"United Kingdom",2020-09-05,0,0,0,0,0,0,0
"United Kingdom",2020-09-06,0,0,0,0,0,0,0
"United Kingdom",2020-09-07,0,0,0,0,0,0,0
"United Kingdom",2020-09-08,1,0,2,3,0.333333333333333,0.96,0.0723627226986633
"United Kingdom",2020-09-09,0,0,2,2,0,0,0
"United Kingdom",2020-09-10,1,0,1,2,0.5,0.97,0.0717106982424815
"United Kingdom",2020-09-11,0,0,1,1,0,0,0
"United Kingdom",2020-09-12,0,1,0,1,0,0,0
"United Kingdom",2020-09-13,0,0,2,2,0,0,0
"United Kingdom",2020-09-14,0,1,1,2,0,0,0
"United Kingdom",2020-09-15,1,1,1,3,0.333333333333333,0.91,0.0779730593204985
"United Kingdom",2020-09-16,1,0,2,3,0.333333333333333,1.07,0.0855817879238476
"United Kingdom",2020-09-17,0,1,3,4,0,0,0
"United Kingdom",2020-09-18,0,0,0,0,0,0,0
"United Kingdom",2020-09-19,0,0,3,3,0,0,0
"United Kingdom",2020-09-20,0,0,1,1,0,0,0
"United Kingdom",2020-09-21,0,0,3,3,0,0,0
"United Kingdom",2020-09-22,0,2,0,2,0,0,0
"United Kingdom",2020-09-23,0,0,1,1,0,0,0
"United Kingdom",2020-09-24,0,0,0,0,0,0,0
"United Kingdom",2020-09-25,0,0,0,0,0,0,0
"United Kingdom",2020-09-26,0,0,0,0,0,0,0
"United Kingdom",2020-09-27,0,0,1,1,0,0,0
"United Kingdom",2020-09-28,0,0,1,1,0,0,0
"United Kingdom",2020-09-29,0,0,0,0,0,0,0
"United Kingdom",2020-09-30,0,0,1,1,0,0,0
"United Kingdom",2020-10-01,0,0,0,0,0,0,0
"United Kingdom",2020-10-02,0,0,0,0,0,0,0
"United Kingdom",2020-10-03,0,0,0,0,0,0,0
"United Kingdom",2020-10-04,0,0,0,0,0,0,0
"United Kingdom",2020-10-05,0,0,0,0,0,0,0
"United Kingdom",2020-10-06,0,0,0,0,0,0,0
"United Kingdom",2020-10-07,0,0,0,0,0,0,0
"United Kingdom",2020-10-08,0,0,0,0,0,0,0
"United Kingdom",2020-10-09,0,0,2,2,0,0,0
"United Kingdom",2020-10-10,0,1,0,1,0,0,0
"United Kingdom",2020-10-11,0,0,0,0,0,0,0
"United Kingdom",2020-10-12,0,1,0,1,0,0,0
"United Kingdom",2020-10-13,0,0,3,3,0,0,0
"United Kingdom",2020-10-14,1,0,3,4,0.25,1.14,0.092135166407235
"United Kingdom",2020-10-15,0,0,2,2,0,0,0
"United Kingdom",2020-10-16,1,0,2,3,0.333333333333333,0.88,0.0856112897303441
"United Kingdom",2020-10-17,2,0,1,3,0.666666666666667,1.95,0.0715979233376404
"United Kingdom",2020-10-18,0,1,0,1,0,0,0
"United Kingdom",2020-10-19,1,0,1,2,0.5,1,0.0681649810860727
"United Kingdom",2020-10-20,1,0,2,3,0.333333333333333,1.07,0.0794615719334913
"United Kingdom",2020-10-21,1,0,3,4,0.25,1.11,0.0874960316560446
"United Kingdom",2020-10-22,2,1,2,5,0.4,2.08,0.109802393674116
